aos26	64	16	0	2124.54
aos26	64	16	1	525.95
aos26	64	16	2	680.08
aos26	64	16	3	615.83
aos26	64	16	4	792.17
aos26	64	16	5	624.19
aos26	64	16	6	799.82
aos26	64	16	7	624.00
aos26	256	4	0	1256.08
aos26	256	4	1	1695.78
aos26	256	4	2	1704.18
aos26	256	4	3	1351.83
aos26	256	4	4	1223.81
aos26	256	4	5	920.23
aos26	256	4	6	1015.63
aos26	256	4	7	1111.96
aos26	512	4	0	2016.42
aos26	512	4	1	1831.86
aos26	512	4	2	2263.95
aos26	512	4	3	1503.79
aos26	512	4	4	1576.12
aos26	512	4	5	1295.55
aos26	512	4	6	1128.37
aos26	512	4	7	2472.02
aos26	64	8	0	1784.05
aos26	64	8	1	751.92
aos26	64	8	2	840.02
aos26	64	8	3	616.02
aos26	64	8	4	655.60
aos26	64	8	5	1296.27
aos26	64	8	6	808.01
aos26	64	8	7	807.99
aos26	512	8	0	1407.61
aos26	512	8	1	1448.20
aos26	512	8	2	887.88
aos26	512	8	3	1384.05
aos26	512	8	4	1791.88
aos26	512	8	5	1728.19
aos26	512	8	6	1480.07
aos26	512	8	7	1607.86
aos26	64	32	0	896.24
aos26	64	32	1	551.59
aos26	64	32	2	504.17
aos26	64	32	3	431.72
aos26	64	32	4	528.27
aos26	64	32	5	479.98
aos26	64	32	6	479.97
aos26	64	32	7	399.77
aos26	512	32	0	1215.94
aos26	512	32	1	927.91
aos26	512	32	2	935.90
aos26	512	32	3	1016.13
aos26	512	32	4	1080.21
aos26	512	32	5	1120.00
aos26	512	32	6	1055.96
aos26	512	32	7	719.89
aos26	128	8	0	1295.60
aos26	128	8	1	848.42
aos26	128	8	2	1215.83
aos26	128	8	3	1071.95
aos26	128	8	4	1016.18
aos26	128	8	5	1271.93
aos26	128	8	6	1191.87
aos26	128	8	7	904.00
aos26	256	32	0	823.75
aos26	256	32	1	664.26
aos26	256	32	2	839.82
aos26	256	32	3	720.16
aos26	256	32	4	1103.92
aos26	256	32	5	823.79
aos26	256	32	6	1008.15
aos26	256	32	7	984.14
aos26	512	16	0	1807.59
aos26	512	16	1	1968.08
aos26	512	16	2	1079.95
aos26	512	16	3	1040.14
aos26	512	16	4	1327.68
aos26	512	16	5	1560.35
aos26	512	16	6	1343.99
aos26	512	16	7	1429.79
aos26	64	4	0	1674.02
aos26	64	4	1	1032.04
aos26	64	4	2	1079.95
aos26	64	4	3	1023.72
aos26	64	4	4	1480.03
aos26	64	4	5	952.22
aos26	64	4	6	1319.87
aos26	64	4	7	1416.15
aos26	128	16	0	1463.89
aos26	128	16	1	831.95
aos26	128	16	2	1096.07
aos26	128	16	3	983.79
aos26	128	16	4	856.07
aos26	128	16	5	1015.88
aos26	128	16	6	1095.95
aos26	128	16	7	944.09
aos26	256	8	0	815.84
aos26	256	8	1	1376.03
aos26	256	8	2	1423.99
aos26	256	8	3	1424.06
aos26	256	8	4	1143.87
aos26	256	8	5	991.70
aos26	256	8	6	1000.14
aos26	256	8	7	1024.21
aos26	128	4	0	1288.05
aos26	128	4	1	1272.03
aos26	128	4	2	1863.80
aos26	128	4	3	1007.88
aos26	128	4	4	1456.08
aos26	128	4	5	1511.78
aos26	128	4	6	1496.13
aos26	128	4	7	1119.84
aos26	128	32	0	1191.99
aos26	128	32	1	871.80
aos26	128	32	2	664.35
aos26	128	32	3	791.72
aos26	128	32	4	784.15
aos26	128	32	5	871.74
aos26	128	32	6	808.13
aos26	128	32	7	800.19
aos26	256	16	0	1743.88
aos26	256	16	1	1223.87
aos26	256	16	2	920.05
aos26	256	16	3	1072.11
aos26	256	16	4	2503.63
aos26	256	16	5	1504.12
aos26	256	16	6	1288.18
aos26	256	16	7	1327.71
